,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(0,)",[0.55032468 0.56168831 0.5487013  0.58116883 0.55357143],0.5590909090909092,"('0',)",0.015309931661826405,0.011911646966132576,0.005955823483066288
2,"(0, 1)",[0.74350649 0.74512987 0.74025974 0.73214286 0.72727273],0.7376623376623377,"('0', '1')",0.008812885985369407,0.006856724701929509,0.003428362350964754
3,"(0, 1, 2)",[0.78246753 0.79707792 0.78409091 0.78409091 0.78733766],0.787012987012987,"('0', '1', '2')",0.006780358946418518,0.005275349613399979,0.0026376748066999894
4,"(0, 1, 2, 6)",[0.80519481 0.81168831 0.82305195 0.81655844 0.81168831],0.8136363636363637,"('0', '1', '2', '6')",0.007626476838033601,0.0059336580787327994,0.0029668290393663993
5,"(0, 1, 2, 4, 6)",[0.81168831 0.81493506 0.82305195 0.81655844 0.82305195],0.8178571428571428,"('0', '1', '2', '4', '6')",0.005812347711853763,0.004522203986098729,0.0022611019930493643
6,"(0, 1, 2, 3, 4, 6)",[0.81655844 0.82142857 0.82305195 0.82142857 0.82467532],0.8214285714285715,"('0', '1', '2', '3', '4', '6')",0.0034914010824861666,0.0027164286575781516,0.0013582143287890758
