,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(0,)",[0.56168831 0.55681818 0.54707792 0.57467532 0.55519481],0.5590909090909091,"('0',)",0.011699357048124838,0.009102497252517008,0.004551248626258504
2,"(0, 1)",[0.71590909 0.73701299 0.72727273 0.73701299 0.73538961],0.7305194805194806,"('0', '1')",0.010474203247458538,0.008149285972734486,0.004074642986367242
3,"(0, 1, 10)",[0.80357143 0.81655844 0.79383117 0.80844156 0.80357143],0.8051948051948052,"('0', '1', '10')",0.009515955315580407,0.0074037365266178,0.0037018682633089
4,"(0, 1, 7, 10)",[0.84577922 0.84902597 0.85227273 0.85064935 0.84415584],0.8483766233766235,"('0', '1', '7', '10')",0.0038699018271335112,0.0030109150959401905,0.001505457547970095
5,"(0, 1, 7, 9, 10)",[0.86688312 0.86363636 0.87824675 0.87987013 0.86038961],0.8698051948051949,"('0', '1', '7', '9', '10')",0.010084564447688564,0.007846133749087401,0.003923066874543701
6,"(0, 1, 6, 7, 9, 10)",[0.86525974 0.87662338 0.88311688 0.89285714 0.88474026],0.8805194805194805,"('0', '1', '6', '7', '9', '10')",0.011847268825792292,0.009217577640635317,0.004608788820317659
7,"(0, 1, 6, 7, 9, 10, 12)",[0.88149351 0.88474026 0.88636364 0.88474026 0.88961039],0.8853896103896105,"('0', '1', '6', '7', '9', '10', '12')",0.003390179473209286,0.0026376748067000106,0.001318837403350005
8,"(0, 1, 6, 7, 8, 9, 10, 12)",[0.88636364 0.88961039 0.89935065 0.88311688 0.89123377],0.8899350649350648,"('0', '1', '6', '7', '8', '9', '10', '12')",0.007032502451713713,0.005471525826737905,0.0027357629133689526
9,"(0, 1, 3, 6, 7, 8, 9, 10, 12)",[0.89448052 0.89935065 0.91071429 0.89285714 0.90422078],0.9003246753246753,"('0', '1', '3', '6', '7', '8', '9', '10', '12')",0.008408407269451041,0.006542026519353855,0.0032710132596769277
10,"(0, 1, 2, 3, 6, 7, 8, 9, 10, 12)",[0.9025974  0.89772727 0.91071429 0.89448052 0.90584416],0.9022727272727273,"('0', '1', '2', '3', '6', '7', '8', '9', '10', '12')",0.0073946146397213955,0.005753261411256301,0.00287663070562815
11,"(0, 1, 2, 3, 6, 7, 8, 9, 10, 12, 14)",[0.90909091 0.9025974  0.91558442 0.90097403 0.90584416],0.906818181818182,"('0', '1', '2', '3', '6', '7', '8', '9', '10', '12', '14')",0.006676835936717698,0.005194805194805194,0.002597402597402597
12,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14)",[0.90584416 0.9025974  0.91396104 0.90422078 0.90422078],0.9061688311688311,"('0', '1', '2', '3', '4', '6', '7', '8', '9', '10', '12', '14')",0.0051785846851556344,0.004029114820126895,0.002014557410063447
13,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14)",[0.90422078 0.9025974  0.91558442 0.90584416 0.90584416],0.9068181818181819,"('0', '1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '14')",0.005842231444627982,0.004545454545454543,0.002272727272727271
14,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14)",[0.90422078 0.90097403 0.91396104 0.90909091 0.90584416],0.9068181818181819,"('0', '1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14')",0.005691243854120035,0.0044279810704499455,0.0022139905352249723
