,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(8,)",[0.66396104 0.6461039  0.63961039 0.6737013  0.64448052],0.6535714285714285,"('8',)",0.01672335822357027,0.013011340850333692,0.006505670425166846
2,"(8, 23)",[0.83766234 0.81980519 0.85876623 0.84253247 0.85876623],0.8435064935064934,"('8', '23')",0.01873682437717312,0.014577885922495877,0.0072889429612479385
3,"(8, 21, 23)",[0.90746753 0.875      0.90584416 0.88636364 0.90584416],0.8961038961038961,"('8', '21', '23')",0.016847851442339867,0.013108200804017119,0.0065541004020085595
4,"(8, 15, 21, 23)",[0.92694805 0.91071429 0.93668831 0.92857143 0.94318182],0.9292207792207792,"('8', '15', '21', '23')",0.014065004903427422,0.010943051653475807,0.0054715258267379035
5,"(8, 9, 15, 21, 23)",[0.93831169 0.92532468 0.95292208 0.94155844 0.94642857],0.940909090909091,"('8', '9', '15', '21', '23')",0.011847268825792292,0.00921757764063532,0.004608788820317659
6,"(3, 8, 9, 15, 21, 23)",[0.9512987  0.93668831 0.96266234 0.95941558 0.96428571],0.9548701298701298,"('3', '8', '9', '15', '21', '23')",0.013023574558302942,0.010132783463848856,0.005066391731924428
7,"(3, 8, 9, 12, 15, 21, 23)",[0.9512987  0.95616883 0.96590909 0.96428571 0.97077922],0.9616883116883118,"('3', '8', '9', '12', '15', '21', '23')",0.00900831741682106,0.007008776995104822,0.0035043884975524105
8,"(3, 8, 9, 12, 15, 21, 23, 25)",[0.96266234 0.95779221 0.96753247 0.96915584 0.96753247],0.964935064935065,"('3', '8', '9', '12', '15', '21', '23', '25')",0.005376563336926085,0.004183148937248432,0.002091574468624216
9,"(2, 3, 8, 9, 12, 15, 21, 23, 25)",[0.96428571 0.96103896 0.97077922 0.97077922 0.97402597],0.9681818181818181,"('2', '3', '8', '9', '12', '15', '21', '23', '25')",0.006133065427963531,0.004771733265162026,0.0023858666325810127
10,"(2, 3, 8, 9, 12, 14, 15, 21, 23, 25)",[0.96915584 0.96103896 0.9724026  0.97402597 0.9788961 ],0.971103896103896,"('2', '3', '8', '9', '12', '14', '15', '21', '23', '25')",0.007626476838033639,0.005933658078732829,0.002966829039366414
11,"(2, 3, 8, 9, 12, 14, 15, 17, 21, 23, 25)",[0.97077922 0.96428571 0.97727273 0.97402597 0.9788961 ],0.973051948051948,"('2', '3', '8', '9', '12', '14', '15', '17', '21', '23', '25')",0.00667683593671771,0.0051948051948052035,0.0025974025974026017
12,"(2, 3, 6, 8, 9, 12, 14, 15, 17, 21, 23, 25)",[0.97402597 0.96590909 0.97564935 0.97564935 0.9788961 ],0.9740259740259741,"('2', '3', '6', '8', '9', '12', '14', '15', '17', '21', '23', '25')",0.0055986971359178435,0.004355976579545042,0.002177988289772521
13,"(2, 3, 6, 8, 9, 11, 12, 14, 15, 17, 21, 23, 25)",[0.97564935 0.96915584 0.9788961  0.9788961  0.97727273],0.975974025974026,"('2', '3', '6', '8', '9', '11', '12', '14', '15', '17', '21', '23', '25')",0.004646881148114993,0.0036154314044351114,0.0018077157022175555
14,"(2, 3, 6, 8, 9, 11, 12, 14, 15, 17, 21, 22, 23, 25)",[0.97564935 0.97077922 0.98214286 0.98051948 0.9788961 ],0.9775974025974026,"('2', '3', '6', '8', '9', '11', '12', '14', '15', '17', '21', '22', '23', '25')",0.005178584685155658,0.004029114820126912,0.002014557410063456
15,"(2, 3, 6, 8, 9, 11, 12, 14, 15, 17, 18, 21, 22, 23, 25)",[0.98051948 0.97077922 0.98214286 0.9788961  0.98214286],0.9788961038961039,"('2', '3', '6', '8', '9', '11', '12', '14', '15', '17', '18', '21', '22', '23', '25')",0.005440955612224191,0.004233248315066659,0.002116624157533329
16,"(2, 3, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 25)",[0.97727273 0.9724026  0.98701299 0.98376623 0.98214286],0.9805194805194806,"('2', '3', '6', '8', '9', '11', '12', '13', '14', '15', '17', '18', '21', '22', '23', '25')",0.006598127851028681,0.00513356763014347,0.0025667838150717345
17,"(2, 3, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25)",[0.97727273 0.97564935 0.98538961 0.98538961 0.98376623],0.9814935064935065,"('2', '3', '6', '8', '9', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25')",0.005376563336926045,0.004183148937248401,0.0020915744686242003
18,"(2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25)",[0.9788961  0.97564935 0.98701299 0.98376623 0.98376623],0.9818181818181818,"('2', '3', '4', '6', '8', '9', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25')",0.005178584685155625,0.004029114820126887,0.0020145574100634434
19,"(2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 29)",[0.9788961  0.97564935 0.98863636 0.98376623 0.98214286],0.9818181818181818,"('2', '3', '4', '6', '8', '9', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25', '29')",0.005660563070751083,0.004404110378652765,0.0022020551893263823
20,"(1, 2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 29)",[0.98051948 0.97402597 0.98538961 0.98538961 0.98701299],0.9824675324675326,"('1', '2', '3', '4', '6', '8', '9', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25', '29')",0.0061046055740378,0.004749590531924602,0.0023747952659623007
21,"(1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 29)",[0.98214286 0.9788961  0.98701299 0.98376623 0.98701299],0.9837662337662337,"('1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25', '29')",0.003958876710617202,0.003080140578086076,0.0015400702890430381
22,"(1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 29, 32)",[0.98214286 0.9788961  0.98701299 0.98538961 0.98701299],0.9840909090909091,"('1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25', '29', '32')",0.004045895385212473,0.0031478440632573476,0.0015739220316286738
23,"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 29, 32)",[0.98051948 0.9788961  0.99025974 0.98701299 0.99025974],0.9853896103896105,"('0', '1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '25', '29', '32')",0.006189592571558957,0.0048157133033088625,0.0024078566516544313
24,"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 29, 32)",[0.98376623 0.98051948 0.98863636 0.98538961 0.99188312],0.986038961038961,"('0', '1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '24', '25', '29', '32')",0.005042282223844275,0.0039230668745436955,0.0019615334372718478
25,"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 29, 30, 32)",[0.98701299 0.9788961  0.99025974 0.98701299 0.99188312],0.9870129870129869,"('0', '1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '24', '25', '29', '30', '32')",0.005752114503839045,0.004475340503925397,0.002237670251962698
26,"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 29, 30, 32, 33)",[0.98863636 0.98051948 0.98863636 0.98701299 0.99025974],0.9870129870129871,"('0', '1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '24', '25', '29', '30', '32', '33')",0.004376702880131212,0.0034052235330199604,0.0017026117665099802
27,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 29, 30, 32, 33)",[0.99025974 0.98051948 0.99025974 0.98863636 0.98701299],0.9873376623376624,"('0', '1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '22', '23', '24', '25', '29', '30', '32', '33')",0.004646881148114938,0.0036154314044350693,0.0018077157022175344
