,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
23,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20, 24, 26, 28, 29, 30, 33, 34)",[0.99675325 0.99837662 0.99675325 0.99025974 0.99350649],0.9951298701298702,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '12', '15', '16', '17', '19', '20', '24', '26', '28', '29', '30', '33', '34')",0.003732464757278534,0.0029039843863633394,0.0014519921931816697
24,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20, 24, 26, 28, 29, 30, 33, 34, 35)",[0.99675325 0.99675325 0.99675325 0.99188312 0.99350649],0.9951298701298702,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '12', '15', '16', '17', '19', '20', '24', '26', '28', '29', '30', '33', '34', '35')",0.00263925114041143,0.0020534270520573546,0.0010267135260286773
25,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20, 24, 26, 28, 29, 30, 33, 34, 35, 40)",[0.99675325 0.99675325 0.99675325 0.99188312 0.99350649],0.9951298701298702,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '12', '15', '16', '17', '19', '20', '24', '26', '28', '29', '30', '33', '34', '35', '40')",0.00263925114041143,0.0020534270520573546,0.0010267135260286773
26,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20, 24, 26, 28, 29, 30, 33, 34, 35, 39, 40)",[0.99675325 0.99675325 0.99675325 0.99350649 0.99350649],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '12', '15', '16', '17', '19', '20', '24', '26', '28', '29', '30', '33', '34', '35', '39', '40')",0.0020443551426544628,0.0015905777550539715,0.0007952888775269858
27,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 24, 26, 28, 29, 30, 33, 34, 35, 39, 40)",[0.99675325 0.99675325 0.99675325 0.99188312 0.99512987],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '24', '26', '28', '29', '30', '33', '34', '35', '39', '40')",0.0024332693222984215,0.0018931661996250725,0.0009465830998125361
28,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 24, 26, 28, 29, 30, 33, 34, 35, 39, 40)",[0.99675325 0.99675325 0.99675325 0.99350649 0.99512987],0.9957792207792208,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '24', '26', '28', '29', '30', '33', '34', '35', '39', '40')",0.0016692089841793896,0.0012987012987012714,0.0006493506493506357
29,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 24, 26, 28, 29, 30, 33, 34, 35, 39, 40)",[0.99512987 0.99512987 0.99675325 0.99350649 0.99512987],0.9951298701298701,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '21', '24', '26', '28', '29', '30', '33', '34', '35', '39', '40')",0.0013196255702057037,0.0010267135260286686,0.0005133567630143343
30,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 24, 26, 28, 29, 30, 33, 34, 35, 36, 39, 40)",[0.99512987 0.99512987 0.99675325 0.99350649 0.99512987],0.9951298701298701,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '21', '24', '26', '28', '29', '30', '33', '34', '35', '36', '39', '40')",0.0013196255702057037,0.0010267135260286686,0.0005133567630143343
31,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 23, 24, 26, 28, 29, 30, 33, 34, 35, 36, 39, 40)",[0.99512987 0.99675325 0.99675325 0.99188312 0.99350649],0.9948051948051948,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '21', '23', '24', '26', '28', '29', '30', '33', '34', '35', '36', '39', '40')",0.002433269322298412,0.001893166199625065,0.0009465830998125323
32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 33, 34, 35, 36, 39, 40)",[0.99675325 0.99837662 0.99675325 0.99188312 0.99188312],0.9951298701298702,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '21', '22', '23', '24', '26', '28', '29', '30', '33', '34', '35', '36', '39', '40')",0.0034914010824861493,0.0027164286575781385,0.001358214328789069
33,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 33, 34, 35, 36, 37, 39, 40)",[0.99675325 0.99837662 0.99675325 0.99188312 0.99350649],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '19', '20', '21', '22', '23', '24', '26', '28', '29', '30', '33', '34', '35', '36', '37', '39', '40')",0.0030665327139817334,0.0023858666325809875,0.0011929333162904938
34,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 33, 34, 35, 36, 37, 39, 40)",[0.99675325 0.99837662 0.99675325 0.99188312 0.99350649],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '19', '20', '21', '22', '23', '24', '26', '28', '29', '30', '33', '34', '35', '36', '37', '39', '40')",0.0030665327139817334,0.0023858666325809875,0.0011929333162904938
35,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 33, 34, 35, 36, 37, 39, 40)",[0.99512987 0.99837662 0.99837662 0.99188312 0.99350649],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '19', '20', '21', '22', '23', '24', '26', '28', '29', '30', '33', '34', '35', '36', '37', '39', '40')",0.003338417968358818,0.002597402597402573,0.0012987012987012863
36,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40)",[0.99512987 0.99837662 0.99675325 0.99188312 0.99350649],0.9951298701298702,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '19', '20', '21', '22', '23', '24', '26', '28', '29', '30', '32', '33', '34', '35', '36', '37', '39', '40')",0.002950772479826915,0.002295801237618634,0.001147900618809317
37,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40)",[0.99512987 0.99837662 0.99837662 0.99188312 0.99350649],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '19', '20', '21', '22', '23', '24', '25', '26', '28', '29', '30', '32', '33', '34', '35', '36', '37', '39', '40')",0.003338417968358818,0.002597402597402573,0.0012987012987012863
38,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40)",[0.99512987 0.99675325 0.99837662 0.99188312 0.99512987],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '28', '29', '30', '32', '33', '34', '35', '36', '37', '39', '40')",0.0027680699486066942,0.0021536524612697223,0.0010768262306348612
39,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40)",[0.99512987 0.99675325 0.99837662 0.99188312 0.99512987],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '39', '40')",0.0027680699486066942,0.0021536524612697223,0.0010768262306348612
40,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40)",[0.99512987 0.99675325 0.99837662 0.99188312 0.99512987],0.9954545454545455,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40')",0.0027680699486066942,0.0021536524612697223,0.0010768262306348612
