,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(0,)",[0.63636364 0.64448052 0.64123377 0.65422078 0.66071429],0.6474025974025974,"('0',)",0.011382487708240095,0.008855962140899908,0.004427981070449954
2,"(0, 15)",[0.84577922 0.84253247 0.83928571 0.85876623 0.83279221],0.8438311688311687,"('0', '15')",0.01107227979442686,0.008614609845078955,0.004307304922539477
3,"(0, 13, 15)",[0.89772727 0.89285714 0.89935065 0.9025974  0.89448052],0.8974025974025974,"('0', '13', '15')",0.004455568735769355,0.0034665838480621154,0.0017332919240310577
4,"(0, 6, 13, 15)",[0.92857143 0.92045455 0.9237013  0.94155844 0.93181818],0.9292207792207792,"('0', '6', '13', '15')",0.009386981903911703,0.0073033908306506645,0.003651695415325332
5,"(0, 6, 7, 13, 15)",[0.9512987  0.9237013  0.93831169 0.93993506 0.94480519],0.9396103896103896,"('0', '6', '7', '13', '15')",0.011758745028953597,0.009148703119224269,0.004574351559612134
6,"(0, 1, 6, 7, 13, 15)",[0.95616883 0.94318182 0.94318182 0.94967532 0.95292208],0.949025974025974,"('0', '1', '6', '7', '13', '15')",0.006676835936717694,0.005194805194805191,0.0025974025974025952
7,"(0, 1, 6, 7, 13, 14, 15)",[0.95941558 0.9512987  0.95779221 0.95292208 0.96103896],0.9564935064935064,"('0', '1', '6', '7', '13', '14', '15')",0.004830622739383269,0.0037583886048020033,0.0018791943024010014
8,"(0, 1, 6, 7, 13, 14, 15, 16)",[0.96590909 0.95292208 0.95779221 0.95616883 0.96266234],0.9590909090909092,"('0', '1', '6', '7', '13', '14', '15', '16')",0.005960268246399034,0.004637291187365485,0.002318645593682742
9,"(0, 1, 6, 7, 13, 14, 15, 16, 17)",[0.96753247 0.95779221 0.96103896 0.95779221 0.95779221],0.9603896103896103,"('0', '1', '6', '7', '13', '14', '15', '16', '17')",0.0048665386445969515,0.003786332399250229,0.0018931661996251143
10,"(0, 1, 5, 6, 7, 13, 14, 15, 16, 17)",[0.96915584 0.95941558 0.9724026  0.95454545 0.95941558],0.962987012987013,"('0', '1', '5', '6', '7', '13', '14', '15', '16', '17')",0.008592779164561963,0.0066854741175240056,0.0033427370587620028
11,"(0, 1, 3, 5, 6, 7, 13, 14, 15, 16, 17)",[0.96753247 0.95616883 0.96915584 0.96103896 0.96428571],0.9636363636363636,"('0', '1', '3', '5', '6', '7', '13', '14', '15', '16', '17')",0.00598941398620437,0.004659967563119241,0.0023299837815596203
12,"(0, 1, 2, 3, 5, 6, 7, 13, 14, 15, 16, 17)",[0.97077922 0.95779221 0.97077922 0.96428571 0.96915584],0.9665584415584416,"('0', '1', '2', '3', '5', '6', '7', '13', '14', '15', '16', '17')",0.006410718745566927,0.0049877569791354544,0.0024938784895677272
13,"(0, 1, 2, 3, 5, 6, 7, 9, 13, 14, 15, 16, 17)",[0.97402597 0.96103896 0.9724026  0.96428571 0.96915584],0.9681818181818181,"('0', '1', '2', '3', '5', '6', '7', '9', '13', '14', '15', '16', '17')",0.0062734283441530075,0.004880940382588599,0.0024404701912942996
14,"(0, 1, 2, 3, 5, 6, 7, 9, 13, 14, 15, 16, 17, 19)",[0.97564935 0.96428571 0.97727273 0.96428571 0.97077922],0.9704545454545455,"('0', '1', '2', '3', '5', '6', '7', '9', '13', '14', '15', '16', '17', '19')",0.007032502451713698,0.005471525826737894,0.002735762913368947
15,"(0, 1, 2, 3, 5, 6, 7, 9, 13, 14, 15, 16, 17, 19, 21)",[0.97564935 0.96753247 0.97564935 0.96753247 0.96915584],0.9711038961038962,"('0', '1', '2', '3', '5', '6', '7', '9', '13', '14', '15', '16', '17', '19', '21')",0.004830622739383281,0.0037583886048020124,0.001879194302401006
16,"(0, 1, 2, 3, 5, 6, 7, 9, 13, 14, 15, 16, 17, 19, 20, 21)",[0.97564935 0.96753247 0.97727273 0.96753247 0.97077922],0.9717532467532468,"('0', '1', '2', '3', '5', '6', '7', '9', '13', '14', '15', '16', '17', '19', '20', '21')",0.0052121033825545515,0.0040551935054534945,0.0020275967527267473
17,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 19, 20, 21)",[0.97564935 0.96753247 0.9788961  0.96915584 0.97564935],0.9733766233766235,"('0', '1', '2', '3', '5', '6', '7', '8', '9', '13', '14', '15', '16', '17', '19', '20', '21')",0.005536139897213445,0.004307304922539488,0.002153652461269744
18,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 19, 20, 21)",[0.9788961  0.97077922 0.97564935 0.96428571 0.97402597],0.9727272727272727,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '13', '14', '15', '16', '17', '19', '20', '21')",0.006383496886946466,0.0049665774483046675,0.0024832887241523333
19,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 19, 20, 21, 22)",[0.97564935 0.96753247 0.97564935 0.96590909 0.9788961 ],0.9727272727272727,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '13', '14', '15', '16', '17', '19', '20', '21', '22')",0.006518469463853905,0.005071590698640677,0.0025357953493203387
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23)",[0.9724026  0.96753247 0.97727273 0.96915584 0.97402597],0.9720779220779221,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '13', '14', '15', '16', '17', '19', '20', '21', '22', '23')",0.004455568735769355,0.0034665838480621154,0.0017332919240310577
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)",[0.97727273 0.97077922 0.9788961  0.96753247 0.97077922],0.9730519480519482,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23')",0.005536139897213447,0.00430730492253949,0.002153652461269745
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)",[0.97564935 0.9724026  0.97564935 0.97077922 0.97077922],0.9730519480519482,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '11', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23')",0.002830281535375571,0.0022020551893264053,0.0011010275946632027
23,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25)",[0.97564935 0.9724026  0.97564935 0.97077922 0.9724026 ],0.9733766233766235,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '11', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25')",0.002503813476269159,0.0019480519480519652,0.0009740259740259825
24,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",[0.97564935 0.96915584 0.9724026  0.97077922 0.96915584],0.9714285714285715,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '11', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25')",0.0031228040628622136,0.0024296476537493342,0.0012148238268746671
25,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",[0.9724026  0.97402597 0.97564935 0.9724026  0.97077922],0.9730519480519482,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25')",0.002127832295648838,0.0016555258161015682,0.0008277629080507841
